,Song Title,Artists,Producers,Genius ViewCount,Song Rank,Year,Lyrics
0,5 O'Clock,"('T-Pain', 'Wiz Khalifa', 'Lily Allen')",['T-Pain'],131417,86,2012,"[Chorus: Lily Allen]
It's 5 o' clock in the morning
Conversation got boring
You said you'd go into bed soon
So I snuck off to your bedroom
And I thought I'd just wait there (Uh)
Until I heard you come up the stairs (Uh)
And I pretended I was sleeping (Uh)
And I was hoping you would

[Verse 1: T Pain & (Lily Allen)]
It's 5 o'clock in the morning, and I want ya
And you want me, don't ya?
I can see it 'cause you've been waiting on me
Since I said that I was hitting in the club
Sun be coming up on me
And I know you be getting so horny
'Cause you be sending me textses
Like, ""Boy just get your ass up in that car
And come get all of this love""
(It's 5 o'clock in the morning) You ain't got to remind me
She already said if I don't come on time
She might go crazy
And she'll be waiting on me naked with one of my chains on
She might come and find me (aw, aw, aw)
And then ask me kindly (aw, aw, aw)
Do I want her to go crazy? We do this every night
And then we always wake up singing the same song

[Chorus: Lily Allen & T-Pain, Both]
It's 5 o' clock in the morning (Yeah)
Conversation got boring (Talk to me, girl)
You said you'd go into bed soon (Let's go)
So I snuck off to your bedroom (Come on)
And I thought I'd just wait there (Wait on me)
Until I heard you come up the stairs (I won't let you stay lonely)
And I pretended I was sleeping (All right)
And I was hoping you would creep in (Goodnight)
It's 5 o' clock in the morning
The conversation got boring
You said you'd go into bed soon
So I snuck off to your bedroom
And I thought I'd just wait there
Until I heard you come up the stairs
And I pretended I was sleeping
And I was hoping you would creep in

[Verse 2: T Pain & (Lily Allen)]
It's 5 o'clock in the morning, and you calling
And these females got me stalling
I can hear your voice in my head like
""What is he doing? What is he doing?""
Cause I keep checking my cell phone
And these missed calls
And you texting me like, ""I'mma kill y'all
If you don't get your ass up out of that club
And do you know what time it is?""
(It's 5 o'clock in the morning) Ooh, and my bad, girl
And this Nuvo got me trippin and I know that you mad, girl
But you ain't got to worry about nothing (worry 'bout nothing)
Girl I got you, girl I got you
She might come and find me (Oh, no, no)
And then ask me kindly (Oh, no, no)
Do I want her to go crazy? We do this every night
And then we always wake up singing the same song

[Chorus: Lily Allen & T-Pain, Both]
It's 5 o' clock in the morning (Yeah)
Conversation got boring (Talk to me, girl)
You said you'd go into bed soon (Let's go)
So I snuck off to your bedroom (Come on)
And I thought I'd just wait there (Wait on me)
Until I heard you come up the stairs (I won't let you stay lonely)
And I pretended I was sleeping (Alright)
And I was hoping you would creep in (Baby girl, goodnight)
It's 5 o' clock in the morning
The conversation got boring
You said you'd go into bed soon
So I snuck off to your bedroom
And I thought I'd just wait there
Until I heard you come up the stairs
And I pretended I was sleeping
And I was hoping you would creep in
It's 5 o' clock in the morning

[Verse 3: Wiz Khalifa & (Lily Allen)]
Oh-oh, and you ain't got nothing on
But the t-shirt that I left over your house
The last time I came and put it on ya
Too many thirsty girls up in this club
For me to leave here with one of them, that's why I call her
And you'll be right at home waiting for me
IPhone plugged in the wall, just waiting for me
Club closed at 6, left around 4:30
Yeah, so by the time I'm at your crib
(It’s 5′O Clock in the morning) And you yawning
But I’ve been drinking all night and I feel like performing
With you in the bedroom, floor to the dresser
Dont want nothing less cause I’m sure you’re the best
You’re the one, so I let you, thats how you show me love
And when we finish you like “damn, babe you woke me up”
I like you way you put it down, like its for both of us
The sun ain't the only thing thats coming up

[Chorus: Lily Allen & T-Pain]
It's 5 o' clock in the morning
Conversation got boring
You said you'd go into bed soon
So I snuck off to your bedroom
And I thought I'd just wait there
Until I heard you come up the stairs
And I pretended I was sleeping
And I was hoping you would creep in
It's 5 o' clock in the morning"
1,50 Ways To Say Goodbye,"('Train',)","['Butch Walker', 'Espionage']",62230,81,2012,"[Verse 1]
My heart is paralyzed
My head was oversized
I'll take the high road like I should
You said it's meant to be
That it's not you, it's me
You're leaving now for my own good

That's cool, but if my friends ask where you are I'm gonna say

[Hook 1]
She went down in an airplane
Fried getting suntanned
Fell in a cement mixer full of quicksand
Help me, help me, I'm no good at goodbyes!
She met a shark under water
Fell and no one caught her
I returned everything I ever bought her
Help me, help me, I'm all out of lies
And ways to say you died

[Verse 2]
My pride still feels the sting
You were my everything
Some day I'll find a love like yours (a love like yours)
She'll think I'm Superman
Not super minivan
How could you leave on Yom Kippur?

That's cool, but if my friends ask where you are I'm gonna say

[Hook 2]
She was caught in a mudslide
Eaten by a lion
Got run over by a crappy purple Scion
Help me, help me, I'm no good at goodbyes!
She dried up in the desert
Drowned in a hot tub
Danced to death at an east side night club
Help me, help me, I'm all out of lies
And ways to say you died

[Bridge]
I wanna live a thousand lives with you
I wanna be the one you're dying to love...
But you don't want to

That's cool, but if my friends ask where you are I'm gonna say
That's cool, but if my friends ask where you are I'm gonna say

[Hook 1]
She went down in an airplane
Fried getting suntanned
Fell in a cement mixer full of quicksand
Help me, help me, I'm no good at goodbyes!
She met a shark under water
Fell and no one caught her
I returned everything I ever bought her
Help me, help me, I'm all out of lies

[Hook 2]
She was caught in a mudslide
Eaten by a lion
Got run over by a crappy purple Scion
Help me, help me, I'm no good at goodbyes!
She dried up in the desert
Drowned in a hot tub
Danced to death at an east side night club
Help me, help me, I'm all out of lies
And ways to say you died"
2,A Thousand Years,"('Christina Perri',)","['Paul Katz', 'David Hodges', 'Alexandra Patsavas']",1142100,87,2012,"[Verse 1]
Heart beats fast
Colors and promises
How to be brave
How can I love when I'm afraid to fall?
But watching you stand alone
All of my doubt suddenly goes away somehow
One step closer

[Chorus]
I have died every day waiting for you
Darling, don't be afraid
I have loved you for a thousand years
I'll love you for a thousand more

[Verse 2]
Time stands still
Beauty in all she is
I will be brave
I will not let anything take away
What's standing in front of me
Every breath
Every hour has come to this
One step closer

[Chorus]
I have died every day waiting for you
Darling, don't be afraid
I have loved you for a thousand years
I'll love you for a thousand more

[Bridge]
And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more
One step closer
One step closer

[Chorus]
I have died every day waiting for you
Darling, don't be afraid
I have loved you for a thousand years
I'll love you for a thousand more

[Outro]
And all along I believed I would find you
Time has brought your heart to me
I have loved you for a thousand years
I'll love you for a thousand more"
3,Adorn,"('Miguel',)",['Miguel'],393962,97,2012,"[Music Video Intro]
Hello, I am your subconscious
Don't be afraid
I am yours and yours alone
I am the projector and you are the projection
And I am always supreme

[Intro]
She's art dealer chic
Would you be my friend, my freak?
She's art dealer chic (yeah)
Would you be my friend, my freak?

[Verse 1]
These lips, can't wait to taste your skin, baby
And these eyes, I can't wait to see your grin, (ooh ooh baby)

[Chorus 1]
Just let my love, Just let my love adorn you (please baby)
And you gotta know, you gotta know
You know that I adore you (yeah baby)

[Verse 2]
Baby these fists, will always protect ya, lady
And this mind, will never neglect you, (yeah baby)
And if they try to break us down (oo-ooh)
Don't let that affect us, no baby

[Chorus 2]
You just gotta let my love
Let my love, let my love adorn you
Ahh, le-le-le-let it dress you down
You gotta know, you gotta know
Know that I adore you
Just that, baby
Oh, let my love adorn you, baby
Don't you ever, don't you let nobody tell you different, baby
I'll always adore you, you gotta know now
You gotta know na-nah-now, yeah

[Bridge]
Oh yeah
The same way that the stars adorn the skies, yeah
(Every night babe)
Now look up sugar (Every night babe)
Now hey hey hey
The same way that my whole world's in your eyes (when I look in your eyes babe)
Oooh and it's time now (It's time babe)

[Chorus 3]
Just let, let my love (do you baby!)
Hey, le-le-le-let it dress you down
You got to know baby, oh you got to know
That I adorn you, yeah
Oh love ain't never looked so good on ya

[Outro]
Oh, put it on, baby
Let my love adorn... You"
4,As Long As You Love Me,"('Justin Bieber', 'Big Sean')","['Andre Lindal', 'Rodney Jerkins']",1520486,34,2012,"[Intro: Justin Bieber]
As long as you love me
(Love me, love me, love me, love me, love me, love me)
As long as you love me
(Love me, love me, love me, love me)
As long as you love me

[Verse 1: Justin Bieber]
We're under pressure (We're under pressure)
Seven billion people in the world tryna fit in (Tryna fit in)
Keep it together (Keep it together)
Smile on your face, even though your heart is frowning (Frowning)
But hey now (Hey now), you know, girl (You know, girl)
We both know, it's a cruel world (Cruel world)
But I will (But I will) take my chances

[Chorus: Justin Bieber]
As long as you love me
We could be starving, we could be homeless, we could be broke
As long as you love me
I'll be your platinum, I'll be your silver, I'll be your gold
As long as you love me, love me
As long as you love me, love me

[Verse 2: Justin Bieber]
I'll be your soldier (I'll be your soldier)
Fighting every second of the day for your dreams, girl
(For your dreams, girl)
I'll be your Hova (I'll be your Hova)
You could be my Destiny's Child on the scene, girl
So don't stress (Don't stress), and don't cry (And don't cry)
Oh, we don't need no wings to fly (Wings to fly)
Just take (Take), my hand

[Chorus: Justin Bieber]
As long as you love me
We could be starving, we could be homeless, we could be broke
As long as you love me
I'll be your platinum, I'll be your silver, I'll be your gold
As long as you love me, love me
As long as you love me, love me

[Verse 3: Big Sean]
Whoa, whoa, B-I-G
I don't know if this makes sense, but, you're my hallelujah
Give me a time and place, I'll rendezvous it
I'll fly you to it, I'll beat you there
Girl, you know I got you
Us, trust, a couple things I can't spell without 'U'
Now we on top of the world (World) 'cause that's just how we do
Used to tell me sky's the limit, now the sky's our point of view
Man, we stepping out, like whoa (Oh God)
Cameras point and shoot (Shoot)
Ask me, ""What's my best side?""
I stand back and point at you, you, you
The one that I argue with, feel like I need a new girl to be bothered with
But the grass ain't always greener on the other side
It's green where you water it
So I know, we got issues baby, true, true, true
But I'd rather work on this with you
Than to go ahead and start with someone new
As long as you love me

[Chorus: Justin Bieber]
As long as you love me (Yeah, yeah, baby)
We could be starving, we could be homeless, we could be broke
As long as you love me
I'll be your platinum (Platinum), I'll be your silver, I'll be your gold

[Outro: Justin Bieber]
As long as you love me
As long as you love me
As long as you love me (I'll be your silver, I'll be your gold)
As long as you love me, you love me, you love me, yeah
(It's all I want, baby)
As long as you love me, you love me (Please don't go)
As long as you love me, as long as you love me
As long as you love me, yeah
As long as you love me (Love me, love me, love me, love me)"
5,Ass Back Home,"('Gym Class Heroes', 'Neon Hitch')","['Robopop', 'Sterling Fox', 'benny blanco']",40306,51,2012,"[Intro: Travie McCoy]
Oh, it's so sexy, yo

[Chorus: Neon Hitch & Travie McCoy]
I don't know where you're going
Or when you're coming home
I left the keys under the mat to our front door (Ya)
For one more chance to hold you close
(It's your boy Travie, Gym Class Heroes)
I don't know where you're going (Let's go, yeah)
Just get your ass back home

[Verse 1: Travie McCoy]
We both knew this type of life didn't come with instructions (No)
So I'm trying to do my best to make something out of nothing
And sometimes it gets down right shitty in fact
When you call and I don't even know what city I'm at
Or what day of the week in the middle of the month
In a year I don't recall
It's like my life's on repeat and the last time we spoke I told you I wouldn't be long
That was last November now December's almost gone
I'd apologize, but I don't realize what I'm doing wrong
I never know

[Chorus: Neon Hitch & (Travie McCoy)]
I don't know where you're going
Or when you're coming home
I left the keys under the mat to our front door (That's love, yeah)
For one more chance to hold you close
I don't know where you're going (Uh-huh, ok, what's that?)
Just get your ass back home

[Verse 2: Travie McCoy]
And you've been nothing but amazing and I'll never take that for granted
Half of these birds would've flew the coop but you, you truly understand it
And the fact you stood beside me every time you heard some bogusness (Tough love)
You deserve a standing O cause they'd have just been over it
Let 'em talk, let 'em talk, let 'em talk, let 'em talk
Like we don't hear what they saying
Let 'em walk, let 'em walk, let 'em walk, let 'em walk
We'll just drive by and keep waving
'Cause you and I above all that, just let 'em wallow in it
And now they all choked up, yuck - 'cause they be swallowin' it

[Chorus: Neon Hitch & (Travie McCoy)]
I don't know where you're going (Yeah)
Or when you're coming home (Alright)
I left the keys under the mat (I'm coming home, mama)
(Mama, I'm coming home)
To our front door (That's love)
For one more chance to hold you close
I don't know where you're going (Yeah, yeah, yeah)
Just get your ass back home

[Interlude: Travie McCoy]
No one holds me down like you do sweetheart
You keep doing that, I'll keep doing this
And we'll be alright, trust that
We put the ""us"" in ""trust"", baby
Ahh, let's go!

[Bridge: Neon Hitch]
I don't care what you're after
As long as I'm the one, no
I don't care why you're leaving
You'll miss me when you're gone

[Chorus: Neon Hitch & (Travie McCoy)]
I don't know where you're going (Uh-huh, uh-huh)
Or when you're coming home (Ok)
I left the keys under the mat (I'm home now, baby, let's go)
To our front door (Uh-huh)
For one more chance to hold you close
I don't know where you're going
Just get your ass back home

[Outro: Travie McCoy]
I'm home, baby"
6,Back In Time,"('Pitbull',)","['MK', 'Buddha (Producer)', 'Big Syphe']",24687,62,2012,"[Intro]
Let's, excuse me, baby
Go, yeah you, baby
Back, oh you groovy, baby
In, let's make a movie, baby
Time, excuse me, baby
Let's, yeah you, baby
Go, oh you groovy, baby
Back in, let's make a movie, baby
Time

[Interlude]
It's Mr Worldwide, Agent A, reporting live
From Cape Canaveral, MK, Big Syphe, let's ride
Back, back, in, in, time

[Chorus]
Baby
Ohhh, baby
Ohhh, baby
My sweet baby
You're the one

[Verse 1]
Miami equals
Black mask, black clothes
With a little bit of rope to tie, I flipped it
Black suits, white shirts, black glasses with a matching tie
Like Agent J or Agent K, and I wish the whole world would
Ok, I'm tryin' make a billion out of 15 cents
Understand, understood
I'm a go-getter, mover, shaker, culture
Bury a boarder, record-breaker, won't cha
Give credit where credit is due, don't cha
Know that I don't give a number two
Y'all just halfway thoughts
Not worth the back of my mind
But to understand the future
We have to go back in time

[Chorus]
Baby
Ohhh, baby
Ohhh, baby
My sweet baby
You're the one

[Verse 2]
I got the globe, yeah, in the palm of my hand
Wherever I spin it, that's where I land
Let's save the world
Men In Black, I know you understand
Stop the movement, they can try if they want to
Ignorar lo latino, si, they can try if they want to
What Pit solves is a bit raw
Took like jigsaw and built it all
Despite a big loss, I'd bet it all
And fought blind against the world, Ray Charles
Y'all just halfway thoughts
Not worth the back of my mind
But to understand the future
We have to go back in time

[Chorus]
Baby
Ohhh, baby
Ohhh, baby
My sweet baby
You're the one

[Interlude]
Let's, excuse me, baby
Go, yeah, you, baby
Back, oh you groovy, baby
In, let's make a movie, baby
Time, excuse me, baby
Let's, yeah you, baby
Go, oh you groovy, baby
Back in, let's make a movie, baby
Time

[Chorus]
Baby
My sweet baby
My sweet baby
My sweet baby
You're the...
Baby
Ohhh, baby
Ohhh, baby
My sweet baby
You're the one"
7,Birthday Cake,"('Rihanna', 'Chris Brown')",['Da Internz'],121703,79,2012,"[Intro]
Come and put cha name on it, put cha name on it
Come and put cha name on it, ya name
Don't chu wanna put ya name on it, put cha name on it
Come and put cha name on it, bay-bay-bay-bay-uh

[Verse 1]
It's not even my birthday (My birthday)
But he wanna lick the icing off (The icing off)
I know you want it in the worst way (The worst way)
Can't wait to blow my candles out

[Chorus]
He want that...
Cake, cake, cake, cake, cake
Cake, cake, cake, cake, cake
Cake, cake, cake, cake, cake
(But you wanna put your name on it)
Oh, baby I like it
It's so exciting
Don't try to hide it
I'mma make you my bitch
Cake, cake, cake, cake, cake
Cake, cake, cake, cake, cake
Cake, cake, cake, cake, cake
(But you wanna put your name on it)
I know you wanna bite this
It's so enticing
Nothing else like this
I'mma make you my bitch

[Verse 2]
And it's not even my birthday (My birthday)
But you wanna put your name on it
And it's not even my birthday (My birthday)
And he's tryna put his name on it

[Outro]
Oh, I wanna fuck you right now (ooh)
Just get up on my body, I'll do anything..."
8,Blow Me,"('P!nk',)",['Greg Kurstin'],52584,37,2012,"[Verse 1]
White knuckles
And sweaty palms from hanging on too tight
Clenched shut jaw
I've got another headache again tonight
Eyes on fire, eyes on fire
And they burn from all the tears
I've been crying, I've been crying
I've been dying over you
Tie a knot in the rope
Tryna hold, tryna to hold
But there's nothing to grasp so
I let go

[Chorus]
I think I finally had enough
I think I maybe think too much
I think this might be it for us
Blow me one last kiss
You think I'm just too serious
I think you're full of shit
My head is spinning so
Blow me one last kiss
Just when it can't get worse
I've had a shit day
Have you had a shit day?
We've had a shit day
I think that life's too short for this
I want back my ignorance and bliss
I think I've had enough of this
Blow me one last kiss

[Verse 2]
I won't miss
All of the fighting that we always did
Take it in
I mean what I say when I say there is nothing left
No more sick
Whiskey dick
No more battles for me
You'll be calling a trick
Cause you no longer sleep
I'll dress nice
I'll look good
I'll go dancing alone
I will laugh
I'll get drunk
I'll take somebody home

[Chorus]
I think I finally had enough
I think I maybe think too much
I think this might be it for us
Blow me one last kiss
You think I'm just too serious
I think you're full of shit
My head is spinning so
Blow me one last kiss
Just when it can't get worse
I've had a shit day
Have you had a shit day?
We've had a shit day
I think that life's too short for this
I want back my ignorance and bliss
I think I've had enough of this
Blow me one last kiss

[Interlude]
Blow me one last kiss
Blow me one last kiss

[Bridge]
I will do what I please
Anything that I want
I will breathe
I will breathe
I won't worry at all
You will pay for your sins
You'll be sorry, my dear
All the lies, all the ""why's"" will be crystal clear

[Chorus]
I think I finally had enough
I think I maybe think too much
I think this might be it for us
Blow me one last kiss
You think I'm just too serious
I think you're full of shit
My head is spinning so
Blow me one last kiss
Just when it can't get worse
I've had a shit day
Have you had a shit day?
We've had a shit day
I think that life's too short for this
I want back my ignorance and bliss
I think I've had enough of this
Blow me one last kiss

[Interlude]
Blow me one last kiss
Blow me one last kiss

[Chorus]
Just when it can't get worse
I've had a shit day
Have you had a shit day?
We've had a shit day
I think that life's too short for this
I want back my ignorance and bliss
I think I've had enough of this
Blow me one last kiss"
9,Blown Away,"('Carrie Underwood',)",['Mark Bright'],36036,70,2012,"[Verse 1]
Dry lightning cracks across the skies
Those storm clouds gather in her eyes
Her daddy was a mean old mister
Mama was an angel in the ground
The weatherman called for a twister
She prayed blow it down

[Pre-Chorus]
There’s not enough rain in Oklahoma
To wash the sins out of that house
There’s not enough wind in Oklahoma
To rip the nails out of the past

[Chorus]
Shatter every window 'til it’s all blown away
Every brick, every board, every slamming door blown away
'Til there’s nothing left standing, nothing left of yesterday
Every tear-soaked whiskey memory blown away
Blown away

[Verse 2]
She heard those sirens screamin' out
Her daddy laid there, passed out on the couch
She locked herself in the cellar
Listened to the screaming of the wind
Some people called it taking shelter
She called it sweet revenge

[Chorus]
Shatter every window 'til it’s all blown away
Every brick, every board, every slamming door blown away
'Til there’s nothing left standing, nothing left of yesterday
Every tear-soaked whiskey memory blown away
Blown away

[Pre-Chorus]
There’s not enough rain in Oklahoma
To wash the sins out of that house
There’s not enough wind in Oklahoma
To rip the nails out of the past

[Chorus]
Shatter every window 'til it’s all blown away
Every brick, every board, every slamming door blown away
'Til there’s nothing left standing, nothing left of yesterday
Every tear-soaked whiskey memory blown away
Blown away

[Outro]
Blown away
Blown away
Blown away
Blown away"
