,Song Title,Artists,Producers,Genius ViewCount,Song Rank,Year,Lyrics
0,3,"('Britney Spears',)","['Shellback', 'Max Martin']",81714,69,2010,"[Intro]
1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh
Counting
1, 2, 1, 1, 1, 2, 3
Counting
1, 2
Counting
1, 2, 3

[Verse 1]
Babe, pick a night to come out and play
If it's alright
What do you say?
Merrier the more
Triple fun that way
Twister on the floor
What do you say?

[Pre-Chorus]
Are you in?
Living in sin is the new thing
Yeah, are you in?
I am counting

[Chorus]
1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh
Counting, 1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh

[Verse 2]
Three is a charm
Two is not the same
I don't see the harm
So are you game?
Let's make a team
Make them say my name
Loving the extreme
Now are you game?

[Pre-Chorus]
Are you in?
Living in sin is the new thing
Yeah, are you in?
I am counting

[Chorus]
1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh
Counting, 1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh

[Bridge]
What we do is innocent
Just for fun and nothing meant
If you don't like the company
Let's just do it, you and me
You and me, or three
Or four, on the floor

[Chorus]
1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh
Counting, 1, 2, 3
Not only you and me
Got one eighty degrees, and I'm caught in between
Counting, 1, 2, 3
Peter, Paul and Mary
Getting down with 3P
Everybody loves... ooh"
1,According To You,"('Orianthi',)",['Howard Benson'],7531,55,2010,"[Verse 1]
According to you
I'm stupid, I'm useless
I can't do anything right
According to you
I'm difficult, hard to please
Forever changing my mind
I'm a mess in a dress
Can't show up on time
Even if it would save my life
According to you
According to you

[Chorus]
But according to him
I'm beautiful, incredible
He can't get me out of his head
According to him
I'm funny, irresistible
Everything he ever wanted
Everything is opposite
I don't feel like stopping it
So baby, tell me what I've got to lose
He's into me for everything I'm not
According to you

[Verse 2]
According to you
I'm boring, I'm moody
And you can't take me any place
According to you
I suck at telling jokes
'Cause I always give it away
I'm the girl with the worst attention span
You're the boy who puts up with that
According to you
According to you

[Chorus]
But according to him
I'm beautiful, incredible
He can't get me out of his head
According to him
I'm funny, irresistible
Everything he ever wanted
Everything is opposite
I don't feel like stopping it
So baby, tell me what I've got to lose
He's into me for everything I'm not
According to you

[Bridge]
I need to feel appreciated
Loved, not hated, oh, no
Why can't you see me through his eyes?
It's too bad you're making me decide

[Breakdown]
But according to me
You're stupid, you're useless
You can't do anything right

[Chorus]
But according to him
I'm beautiful, incredible
He can't get me out of his head
According to him
I'm funny, irresistible
Everything he ever wanted
Everything is opposite
I don't feel like stopping it
So baby, tell me what I've got to lose
He's into me for everything I'm not
According to you (You, you)
According to you (You, you)

[Outro]
According to you
I'm stupid
I'm useless
I can't do anything right"
2,Airplanes,"('B.o.B', 'Hayley Williams')",['Alex da Kid'],426084,6,2010,"[Chorus: Hayley Williams]
Can we pretend that airplanes
In the night sky are like shooting stars?
I could really use a wish right now
Wish right now, wish right now
Can we pretend that airplanes
In the night sky are like shooting stars?
I could really use a wish right now
Wish right now, wish right now

[Verse 1: B.o.B]
Yeah, I could use a dream or a genie or a wish
To go back to a place much simpler than this
'Cause after all the partyin' and smashin' and crashin'
And all the glitz and the glam and the fashion
And all the pandemonium and all the madness
There comes a time where you fade to the blackness
And when you starin' at that phone in your lap
And you hopin' but them people never call you back
But that's just how the story unfolds
You get another hand soon after you fold
And when your plans unravel in the sand
What would you wish for if you had one chance?
So airplane, airplane, sorry I'm late
I'm on my way, so don't close that gate
If I don't make that, then I'll switch my flight
And I'll be right back at it by the end of the night

[Chorus: Hayley Williams]
Can we pretend that airplanes
In the night sky are like shooting stars?
I could really use a wish right now
Wish right now, wish right now
Can we pretend that airplanes
In the night sky are like shooting stars?
I could really use a wish right now
Wish right now, wish right now

[Verse 2: B.o.B]
Yeah, yeah, somebody take me back to the days
Before this was a job, before I got paid
Before it ever mattered what I had in my bank
Yeah, back when I was tryna get a tip at Subway
And back when I was rappin' for the hell of it
But nowadays we rappin' to stay relevant
I'm guessin' that if we can make some wishes out of airplanes
Then maybe, oh maybe, I'll go back to the days
Before the politics that we call the rap game
And back when ain't nobody listened to my mixtape
And back before I tried to cover up my slang
But this is for Decatur—what's up, Bobby Ray?
So can I get a wish to end the politics?
And get back to the music that started this shit?
So here I stand and then again I say
I'm hopin' we can make some wishes out of airplanes

[Chorus: Hayley Williams]
Can we pretend that airplanes
In the night sky are like shooting stars?
I could really use a wish right now
Wish right now, wish right now
Can we pretend that airplanes
In the night sky are like shooting stars?
I could really use a wish right now
Wish right now, wish right now

[Outro: B.o.B]
I could really use a wish right now
I, I, I could really use a wish right now
Like, like, like shooting stars
I, I, I could really use a wish right now
A wish, a wish right now"
3,Alejandro,"('Lady Gaga',)",['RedOne'],194361,33,2010,"[Intro]
I know that we are young, and I know that you may love me
But I just can't be with you like this anymore
Alejandro...

[Verse 1]
She's got both hands in her pocket
And she won't look at you, won't look at you
She hides true love, en su bolsillo
She's got a halo around her finger, around you

[Pre-Chorus]
You know that I love you, boy
Hot, like Mexico, rejoice
At this point, I've gotta choose
Nothing to lose

[Chorus]
Don't call my name, don't call my name, Alejandro
I'm not your babe, I'm not your babe, Fernando
Don't wanna kiss, don't wanna touch
Just smoke my cigarette and hush
Don't call my name, don't call my name, Roberto
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro

[Interlude]
Stop, please, just let me go
Alejandro, just let me go

[Verse 2]
She's not broken
She's just a baby
But her boyfriend's like her dad, just like her dad
And all those flames that burned before him
Now he's gotta firefight, gotta cool the bad

[Pre-Chorus]
You know that I love you, boy
Hot, like Mexico, rejoice
At this point, I've gotta choose
Nothing to lose

[Chorus]
Don't call my name, don't call my name, Alejandro
I'm not your babe, I'm not your babe, Fernando
Don't wanna kiss, don't wanna touch
Just smoke my cigarette and hush
Don't call my name, don't call my name, Roberto
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro

[Bridge]
Don't bother me, don't bother me
Alejandro
Don't call my name, don't call my name
Bye, Fernando
I'm not your babe, I'm not your babe
Alejandro
Don't wanna kiss
Don't wanna touch
Fernando
Don't call my name, don't call my name
Alejandro
I'm not your babe, I'm not your babe
Fernando
Don't wanna kiss, don't wanna touch
Just smoke my cigarette and hush
Don't call my name, don't call my name
Roberto

[Outro]
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
(Don't call my name, don't call my name) Alejandro, Alejandro
(I'm not your babe, I'm not your babe) Ale-Alejandro, Ale-Alejandro (Fernando)
(Don't wanna kiss, don't wanna touch) Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro (Just smoke my cigarette and hush)
(Don't call my name, don't call my name) Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro (Roberto)
Alejandro"
4,All I Do Is Win,"('DJ Khaled', 'T-Pain', 'Ludacris', 'Snoop Dogg', 'Rick Ross')","['L.V.M.', 'DJ Nasty']",309081,79,2010,"[Intro: DJ Khaled & T-Pain]
DJ Khaled
Hey, yeah
We the best

[Chorus: T-Pain]
All I do is win, win, win no matter what (What)
Got money on my mind, I can never get enough ('Nough)
And every time I step up in the building
Everybody hands go up
And they stay there (There), and they say yeah (Yeah)
And they stay there, up, down, up, down, up, down
'Cause all I do is win (Win), win (Win), win
And if you going in put your hands in the air, make 'em stay there

[Verse 1: Ludacris]
Yeah, listen, Luda!
Ludacris goin' in on the verse
'Cause I never been defeated and I won't stop now (Woah)
Keep your hands up, get 'em in the sky
For the homies that didn't make it and my folks locked down (Woah)
I never went nowhere (No), but they sayin' ""Luda's back"" (Yeah)
Blame it on that conjure (Ha), the hood call it Luda 'gnac (Yah)
And I'm on this foolish track, so I spit my foolish flow (Flow)
My hands go up and down (Down), like strippers' booties go (Whoo)
My verses still be servin' (Yup), tight like a million virgins (Yup)
Last time on the Khaled remix, now I'm on the original version (Yah)
Can't never count me out (No), y'all better count me in (Yo)
Got twenty bank accounts, accountants count me in (Whoo)
Make millions every year (Yeah) the South's champion (Yeah)
'Cause all I do, all I, all I, all I, all I do is

[Chorus: T-Pain, Ludacris & Rick Ross]
All I do is win, win (Ay), win no matter what (Whoo)
Got money on my mind, I can never get enough ('Nough)
And every time I step up in the building
Everybody hands go up
And they stay there (There), and they say yeah (Yeah)
And they stay there, up, down, up, down, up, down
'Cause all I do is win (Win), win (Win), win (Who?)
And if you going in (Boss) put your hands in the air (Boss), make 'em stay there

[Verse 2: Rick Ross & DJ Khaled]
Swervin' in my lo-lo
Head on the swivel, you know serving me's a no-no
Clean as a whistle as I pull out in my Rolls Royce
Yellow bone passenger, they see it they say, ""Oh boy""
Tell Khaled back it up, my niggas call me loco
Down for armed trafficking, don't make me pull that fo'-fo'
Ask you what you laughing at (What?), represent that mud life (Mud life)
Dirty money bitch you better get yo' mud right (Mud right)
We come together holdin' hands and holla ""Thug life"" (""Thug Life"")
We all strapped in all black, it's like fuck life (Fuck life) (All we do is win)
You riding to what (What) 'cause we riding tonight (Tonight)
Now she riding with me 'cause you wasn't riding her right
Ross!

[Chorus: T-Pain]
All I do is win, win, win no matter what (What)
Got money on my mind, I can never get enough ('Nough)
And every time I step up in the building
Everybody hands go up
And they stay there (There), and they say yeah (Yeah)
And they stay there, up, down, up, down, up, down
'Cause all I do is win (Win), win (Win), win
And if you going in put your hands in the air, make 'em stay there

[Verse 3: Snoop Dogg]
Heat in the kitchen, pot on the stove
Water gettin' boiled, dope being sold
Snoopy in the hoopty, system overload
I been running this rap game since I was 20 years old
I hung with the worst of 'em, bust 'til I burst 'em up
Floss 'em up, toss 'em up, Hardaway, cross 'em up
Pardon me, I'm bossing up, pressure up, bless you bruh
Don't mess with us, we like the U in the 80's
Back to back, set a trap, hit the lick, hit it back
Hit the trick, jump the track, bitch I want my money back
Time and time again while I'm sipping on this gin
Al Davis said it best, ""Just win baby, win""

[Chorus: T-Pain]
All I do is win, win, win no matter what (What)
Got money on my mind, I can never get enough ('Nough)
And every time I step up in the building
Everybody hands go up
And they stay there (There), and they say yeah (Yeah)
And they stay there, up, down, up, down, up, down
'Cause all I do is win (Win), win (Win), win
And if you going in put your hands in the air, make 'em stay there"
5,All The Right Moves,"('OneRepublic',)","['Brent Kutzle', 'Andy Prickett', 'Ryan Tedder']",48582,54,2010,"[Chorus 1]
All the right friends in all the right places
So yeah, we're going down
They've got
All the right moves and all the right faces
So yeah, we're going down

[Verse 1]
Let's paint the picture of the perfect place
They've got it better than when anyone's told you
They'll be the King of Hearts, and you're the Queen of Spades
Then we'll fight for you like we were your soldiers
I know we got it good, but they got it made
And their grass is getting greener each day
I know things are looking up, but soon they'll take us down
Before anybody's knowing our name
They've got

[Chorus 1]
All the right friends in all the right places
So yeah, we're going down
They've got
All the right moves and all the right faces
So yeah, we're going down

[Chorus 2]
They say
Everybody knows, everybody knows where we're going
Yeah, we're going down
They say
Everybody knows, everybody knows where we're going
Yeah, we're going down

[Verse 2]
Do you think I'm special?
Do you think I'm nice?
Am I bright enough to shine in your spaces?
Between the noise you hear
And the sounds you like
Are we just sinking in the ocean of faces?
It can't be possible, that rain can fall
Only when it's over our heads
The sun is shining everyday, but it's far away
Over the world that's dead
They've got, they've got

[Chorus 1]
All the right friends in all the right places
So yeah, we're going down
They've got
All the right moves and all the right faces
So yeah, we're going down

[Chorus 2]
They say
Everybody knows, everybody knows where we're going
Yeah, we're going down
They say
Everybody knows, everybody knows where we're going
Yeah, we're going down

[Bridge]
It don't matter what you see
I know I could never be
Someone that'll look like you
It don't matter what you say
I know I could never fake
Someone that could sound like you

[Chorus 1]
All the right friends in all the right places
So yeah, we're going down
They've got
All the right moves and all the right faces
So yeah, we're going down
All the right friends in all the right places
So yeah, we're going down
They've got
All the right moves and all the right faces
So yeah, we're going down

[Chorus 2]
They say
Everybody knows, everybody knows where we're going
Yeah, we're going down
They say
Everybody knows, everybody knows where we're going
Yeah, we're going down

[Outro]
Yeah, we're going down
Yeah, we're going down
All the right moves, hey
Yeah, we're going down
All the right moves, hey
Yeah, we're going down"
6,Already Gone,"('Kelly Clarkson',)",['Ryan Tedder'],32066,74,2010,"[Verse 1]
Remember all the things we wanted
Now all our memories, they're haunted
We were always meant to say goodbye
Even with our fists held high
It never would've worked out right, yeah
We were never meant for do or die

[Interlude]
I didn't want us to burn out
I didn't come here to hurt you, now I can't stop

[Chorus]
I want you to know that it doesn't matter
Where we take this road
Someone's gotta go
And I want you to know you couldn't have loved me better
But I want you to move on, so I'm already gone

[Verse 2]
Looking at you makes it harder
But I know that you'll find another
That doesn't always make you wanna cry
It started with a perfect kiss then
We could feel the poison set in
""Perfect"" couldn't keep this love alive
You know that I love you so, I love you enough to let you go

[Chorus]
I want you to know that it doesn't matter
Where we take this road
Someone's gotta go
And I want you to know you couldn't have loved me better
But I want you to move on, so I'm already gone

[Post-Chorus]
I'm already gone, already gone
You can't make it feel right when you know that it's wrong
I'm already gone, already gone
There's no moving on, so I'm already gone

[Bridge]
Ahh, already gone, already gone, already gone (Ooh, oh)
Ahh, already gone, already gone, already gone, yeah

[Verse 3]
Remember all the things we wanted
Now all our memories, they're haunted
We were always meant to say goodbye

[Chorus]
I want you to know that it doesn't matter
Where we take this road
Someone's gotta go
And I want you to know you couldn't have loved me better
But I want you to move on, so I'm already gone

[Outro]
I'm already gone, already gone
You can't make it feel right when you know that it's wrong
I'm already gone, already gone
There's no moving on, so I'm already gone"
7,American Honey,"('Lady Antebellum',)","['Paul Worley', 'Lady Antebellum']",8094,94,2010,"[Verse 1]
She grew up on the side of the road
Where the church bells ring and strong love grows
She grew up good, she grew up slow
Like American honey

[Verse 2]
Steady as a preacher, free as a weed
Couldn't wait to get goin', but wasn't quite ready to leave
So innocent, pure and sweet
American honey

[Chorus]
There's a wild, wild whisper blowin' in the wind
Callin' out my name like a long lost friend
Oh, I miss those days as the years go by
Oh, nothin' sweeter than summertime
And American honey

[Verse 3]
Get caught in the race of this crazy life
Tryin' to be everything can make you lose your mind
I just wanna go back in time
To American honey, yeah

[Chorus]
There's a wild, wild whisper blowin' in the wind
Callin' out my name like a long lost friend
Oh, I miss those days as the years go by
Oh, nothin' sweeter than summertime
And American honey

[Bridge]
Gone for so long now
I gotta get back to her somehow
To American honey
Yeah yeah

[Chorus]
Ooh, there's a wild, wild whisper blowin' in the wind
Callin' out my name like a long lost friend
Oh, I miss those days as the years go by
Oh, nothin' sweeter than summertime
And American honey

[Outro]
And American honey
Mmm, mmm"
8,Animal,"('Neon Trees',)","['Tim Pagnotta', 'Ian Kirkpatrick']",74419,61,2010,"[Verse 1]
Here we go again
I kinda wanna be more than friends
So take it easy on me
I'm afraid you're never satisfied
Here we go again
We're sick like animals
We play pretend
You're just a cannibal
And I'm afraid I won't get out alive
No, I won't sleep tonight

[Chorus]
Oh, oh
I want some more
Oh, oh
What are you waiting for
Take a bite of my heart tonight
Oh, oh
I want some more
Oh, oh
What are you waiting for
What are you waiting for
Say goodbye to my heart tonight

[Verse 2]
Here we go again
I feel the chemicals kickin' in
It's getting heavy
And I wanna run and hide
I wanna run and hide
I do it every time
You're killin' me now
And I won't be denied by you
The animal inside of you

[Chorus]
Oh, oh
I want some more
Oh, oh
What are you waiting for
Take a bite of my heart tonight
Oh, oh
I want some more
Oh, oh
What are you waiting for
What are you waiting for
Say goodbye to my heart tonight

[Bridge]
Hush, hush the world is quiet
Hush, hush we both can't fight it
It's us that made this mess
Why can't you understand?
Whoa, I won't sleep tonight

Here we go again
Here we go again
Here we go again

Oh oh
I want some more
Oh oh
What are you waiting for
Take a bite of my heart tonight
Oh oh
I want some more
Oh oh
What are you waiting for
What are you waiting for
What are you waiting

Here we go again
Here we go again
Here we go again
Say goodbye to my heart tonight

Oh oh
I want some more
Oh oh
What are you waiting for
What are you waiting for
Say goodbye to my heart tonight"
9,Baby,"('Justin Bieber', 'Ludacris')","['The-Dream', 'Tricky Stewart']",1072845,44,2010,"[Produced by The-Dream and Tricky Stewart]

[Intro: Justin Bieber]
Oh, woah
Oh, woah
Oh, woah

[Verse 1: Justin Bieber]
You know you love me, I know you care
Just shout whenever and I’ll be there
You want my love, you want my heart
And we will never, ever, ever be apart
Are we an item? Girl, quit playing
We’re just friends, what are you saying?
Said ""There’s another,"" and looked right in my eyes
My first love broke my heart for the first time, and I was like...

[Chorus: Justin Bieber]
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you'd always be mine, mine
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you’d always be mine, mine

[Verse 2: Justin Bieber]
Oh, for you I would have done whatever
And I just can’t believe we ain't together
And I wanna play it cool, but I'm losing you
I'll buy you anything, I'll buy you any ring
And I'm in pieces, baby, fix me
And just shake me 'til you wake me from this bad dream
I'm going down, down, down, down
And I just can’t believe my first love won’t be around, and I'm like...

[Chorus: Justin Bieber]
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you’d always be mine, mine
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you’d always be mine, mine

[Verse 3: Ludacris]
(Luda)
When I was 13, I had my first love
There was nobody that compared to my baby
And nobody came between us, nor could ever come above
She had me going crazy
Oh, I was starstruck
She woke me up daily, don’t need no Starbucks
She made my heart pound, and skip a beat when I see her in the street and
At school on the playground, but I really want to see her on the weekend
She knows she's got me dazing, cause she was so amazing
And now my heart is breaking, but I just keep on saying

[Chorus: Justin Bieber]
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you’d always be mine, mine
Baby, baby, baby oh
Like baby, baby, baby no
Like baby, baby, baby no oh
Thought you’d always be mine, mine

[Outro: Justin Bieber]
I'm gone, yeah yeah yeah
Now I'm all gone, yeah yeah yeah
Now I'm all gone, yeah yeah yeah
Now I'm all gone, gone, gone, gone, I'm gone"
